Resource,Type,Manufacturer,Model,Value,Status
"24-105MM - B71CL","CANON KIT LENSES",CANON,24-105MM,$10.50,Non-circulating
"24-105MM - B72CL","CANON KIT LENSES",CANON,24-105MM,$10.50,Non-circulating
"24-105MM - B73CL","CANON KIT LENSES",CANON,24-105MM,$10.50,Non-circulating
"24-105MM - B74CL","CANON KIT LENSES",CANON,24-105MM,$10.50,Non-circulating
"24-105MM - B75CL","CANON KIT LENSES",CANON,24-105MM,$10.50,Non-circulating
"24-105MM - B97CL","CANON LENSES",CANON,"EF 24-105MM",,Non-circulating
"24-105MM - B98CL","CANON LENSES",CANON,"EF 24-105MM",,Non-circulating
"24-105MM - B99CL","CANON LENSES",CANON,"EF 24-105MM","$1,149.00",Non-circulating
"24-105MM EF - B76CL","CANON KIT LENSES",CANON,"EF 24-105MM ",$9.45,Non-circulating
"24-105MM EF - B77CL","CANON KIT LENSES",CANON,"EF 24-105MM",$9.45,Non-circulating
"24-105MM EF - B78CL","CANON KIT LENSES",CANON,"EF 24-105MM",$9.45,Non-circulating
"24-105MM EF - B81CL","CANON KIT LENSES",CANON,"EF 24-105MM",$9.45,Non-circulating
"24-105MM EF - B82CL","CANON KIT LENSES",CANON,"EF 17-40MM",$9.45,Non-circulating
"24-105MM L EF LENS B100CL","CANON LENSES",CANON,"EF 24-105MM","$1,149.00",Non-circulating
"24-105MM L EF LENS B58CL","CANON LENSES",CANON,"EF 24-105MM","$1,149.00",Non-circulating
"24-105MM L EF LENS B59CL","CANON LENSES",CANON,"EF 24-105MM","$1,149.00",Non-circulating
"24-120MM 3.5-5.6 - B23NL","NIKON KIT LENSES",NIKON,"24-120MM 3.5-5.6",,Non-circulating
"24-120MM - B02NL","NIKON KIT LENSES",NIKON,"24-120MM 3.5-5.6",$5.00,Non-circulating
"24-120MM - B04NL","NIKON KIT LENSES",NIKON,"24-120mm VR",$5.00,Non-circulating
"24-120MM - B05NL","NIKON KIT LENSES",NIKON,"24-120MM ",$5.00,Non-circulating
"24-120MM VR - B24NL","NIKON KIT LENSES",NIKON,"24-120mm VR",$5.00,Non-circulating
"24-120MM VR - B25NL","NIKON KIT LENSES",NIKON,24-120mm,$5.00,Non-circulating
"24-70MM - B06CL","CANON KIT LENSES",CANON,24-70MM,$11.00,Non-circulating
"24-70MM - B06NL","NIKON KIT LENSES",NIKON,"24-70mm f/2.8",,Non-circulating
"24-70MM - B07CL","CANON KIT LENSES",CANON,"24-70MM ",$11.00,Non-circulating
"24-70MM - B20CL","CANON KIT LENSES",CANON,24-70MM,$11.00,Non-circulating
"24-70MM - B26CL","CANON KIT LENSES",CANON,"24-70MM ",$11.00,Non-circulating
"24-70MM - B28CL","CANON KIT LENSES",CANON,"24-70MM ",$11.00,Non-circulating
"24-70MM - B28NL","NIKON LENSES",NIKON,"ASF 24-70MM",$19.00,Offline
"24-70MM - B29NL","NIKON LENSES",NIKON,"ASF 24-70MM",$19.00,Offline
"24-70MM - B32CL","CANON KIT LENSES",CANON,24-70MM,$11.00,Non-circulating
"24-70MM - B33CL","CANON KIT LENSES",CANON,24-70MM,$11.00,Non-circulating
"24-70MM - B36CL","CANON KIT LENSES",CANON,"24-105mm ",$15.00,Non-circulating
"24-70MM - B40NL","NIKON KIT LENSES",NIKON,"24-70 f/2.8ED",$12.00,Non-circulating
"24-70MM - B41NL","NIKON KIT LENSES",NIKON,"24-70MM AF-S NIKKOR 2.8 ED",$5.00,Non-circulating
"24-70MM - B42NL","NIKON KIT LENSES",NIKON,"AF-S NIKKOR 24-70MM","$1,886.00",Non-circulating
"24-70MM - B96CL","CANON KIT LENSES",CANON,"EF 24-70MM   2.8",$13.80,Non-circulating
"24-85MM 3.5-4.5 - B16NL","NIKON LENSES",NIKON,"24-85MM 3.5-4.5",$6.00,"Checked out"
"24MM 1.4 - B43CL","24MM 1.4",CANON,"24MM 1.4",$13.00,"Checked out"
"24MM 1.8 E - B20SL","ZEISS 24MM 1.8 E (36MM EQ)",SONY,SEL24F18Z,"$1,099.99",Available
"24MM 1.8 E - B21SL","ZEISS 24MM 1.8 E (36MM EQ)",SONY,SEL24F18Z,"$1,099.99",Available
"24"" SAMSUNG 2433 MONITOR - DOES NOT WORK WITH MICCA MEDIA PLAYERS - A08TV","FESTIVAL MONITORS",SAMSUNG,2433BW,$350.00,Available
"24"" SAMSUNG 2433 MONITOR - DOES NOT WORK WITH MICCA MEDIA PLAYERS - A09TV","FESTIVAL MONITORS",SAMSUNG,2433BW,$350.00,Available
"24"" SAMSUNG 2433 MONITOR - DOES NOT WORK WITH MICCA MEDIA PLAYERS - A10TV","FESTIVAL MONITORS",SAMSUNG,2433BW,$350.00,Available
"24"" SAMSUNG 2433 MONITOR - DOES NOT WORK WITH MICCA MEDIA PLAYERS - A11TV","FESTIVAL MONITORS",SAMSUNG,2433BW,$350.00,Available
"24"" SAMSUNG 2433 MONITOR - DOES NOT WORK WITH MICCA MEDIA PLAYERS - A12TV","FESTIVAL MONITORS",SAMSUNG,2433BW,$350.00,Available
"24"" SAMSUNG 2433 MONITOR - DOES NOT WORK WITH MICCA MEDIA PLAYERS - A13TV","FESTIVAL MONITORS",SAMSUNG,2433BW,$350.00,Available
"250MM 4.5 - B12OO","RZ 67 LENSES",MAMIYA,"250MM 4.5 APO-SEKOR",$40.00,Available
"26"" COBY MONITOR - A22TV","FESTIVAL MONITORS",SAMSUNG,T220HD,$350.00,Available
"26"" COBY MONITOR - A54TV","FESTIVAL MONITORS",SAMSUNG,T220HD,$350.00,Available
"28-105MM - B03NL","NIKON LENSES",NIKON,"28-105MM ",$5.00,Offline
"28-135MM - A23CL","CANON KIT LENSES",CANON,"17-85 MM",$4.49,Non-circulating
"28-135MM - B03CL","CANON KIT LENSES",CANON,28-135MM,$5.00,Non-circulating
"28-135MM - B05CL","CANON KIT LENSES",CANON,28-135MM,$5.00,Non-circulating
"28-135MM - B08CL","CANON KIT LENSES",CANON,"28-135MM ",$5.00,Non-circulating
"28-135MM - B54CL","CANON KIT LENSES",CANON,"28-135MM 3.5-5.6",$3.69,Non-circulating
"28-135MM - B55CL","CANON KIT LENSES",CANON,28-135MM,$3.69,Non-circulating
